Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0540,41256.2,25200,18000,5400
0541,28303.650000000005,19800,14400,1800
0542,45752.7,23400,19800,7200
0543,34266.6,21600,18000,3600
0544,47944.29999999999,23400,18000,10800
0545,39074.899999999994,23400,16200,7200
0546,51869.3,21600,16200,7200
0547,38533.24999999999,23400,21600,3600
0548,38062.7,25200,18000,3600
0549,50164.99999999999,23400,18000,5400
0550,41262.65,23400,16200,7200
0551,30037.75,18000,16200,3600
0552,49202.4,23400,18000,5400
0553,58795.99999999999,23400,18000,9000
0554,50125.54999999999,23400,19800,7200
0555,50274.399999999994,23400,16200,7200
0556,53826.45,23400,18000,9000
0557,35682.15000000001,23400,18000,3600
0558,49833.64999999999,27000,19800,7200
0559,46206.9,25200,21600,5400
0560,57740.349999999984,18000,16200,10800
0561,45094.75,19800,12600,7200
0562,36406.450000000004,18000,16200,7200
0563,42576.599999999984,25200,19800,5400
0564,54510.149999999994,19800,14400,9000
0565,43136.7,27000,21600,3600
0566,54637.79999999999,25200,25200,9000
0567,30216.5,21600,16200,3600
0568,39015.1,21600,19800,5400
0569,38195.94999999999,25200,18000,5400
0570,57175.95000000001,25200,19800,7200
0571,53362.149999999994,21600,16200,9000
0572,53486.7,23400,19800,7200
0573,47724.899999999994,25200,23400,7200
0574,49583.79999999999,21600,18000,7200
0575,40375,19800,16200,7200
0576,36619.84999999999,19800,14400,7200
0577,38658,21600,19800,3600
0578,45249.99999999999,25200,21600,7200
0579,49786.5,19800,18000,7200
0580,53030.54999999999,23400,18000,9000
0581,41938,21600,18000,9000
0582,41423.75,16200,12600,5400
0583,61178.55000000001,25200,19800,9000
0584,47779.8,23400,19800,9000
0585,47782.25,23400,21600,9000
0586,47869.25,18000,14400,9000
0587,53086.44999999999,21600,18000,5400
0588,44668,18000,14400,5400
0589,44894.09999999999,25200,18000,5400
0590,43551,25200,19800,5400
0591,43551.70000000001,25200,18000,7200
0592,41500.2,21600,21600,5400
0593,52708.19999999999,27000,19800,5400
0594,32464.5,21600,18000,1800
0595,39448.95,23400,18000,7200
0596,55919.55000000001,21600,18000,9000
0597,53330.649999999994,23400,21600,7200
